sent,eText,factValue
"But under new terms of the agreement, announced Friday, LIN holders would receive a special cash dividend of $42 a share, representing a payout of about $2.23 billion, shortly before the proposed merger.",announced,CT
"But unless the military situation changes drastically, military officials say, the most likely plan will be for the Kennedy to eventually replace the carrier Dwight D. Eisenhower, which has been on patrol since March and was scheduled to return to port before hostilities erupted in Kuwait.",say,CT
"But unless the military situation changes drastically, military officials say, the most likely plan will be for the Kennedy to eventually replace the carrier Dwight D. Eisenhower, which has been on patrol since March and was scheduled to return to port before hostilities erupted in Kuwait.",replace,PR
"But we 're challenging it on the ground that uh the RUC uh have offered an opinion, and this opinion is going to be used as a mechanism for ejecting us from the talks, and uh that's a very serious.",used,CT
"""But we don't minimize the challenges of the near term.""",minimize,CT
"But while International Business Machines Corp. and Compaq Computer Corp. say the bugs will delay products, most big computer makers said the flaws don't affect them.",affect,CT
"But while International Business Machines Corp. and Compaq Computer Corp. say the bugs will delay products, most big computer makers said the flaws don't affect them.",said,CT
"But while its stock is selling at about half Control Data's estimated breakup value, neither Messrs. Perlman nor Price said he spends much time considering the possibility of a hostile takeover.",said,CT
"But while its stock is selling at about half Control Data's estimated breakup value, neither Messrs. Perlman nor Price said he spends much time considering the possibility of a hostile takeover.",selling,CT
"But while the two Slavic neighbors see themselves as natural partners, their relations since the breakup of the Soviet Union have been bedeviled by a number of disputes _ Black Sea naval bases, border problems and Ukraine's natural gas debts.",bedeviled,CT
"But with the task-force investigation just getting under way, officials have been careful not to draw any firm conclusions, leaving open the possibility of a serial killer in some of the cases.",leaving,CT
"But with the task-force investigation just getting under way, officials have been careful not to draw any firm conclusions, leaving open the possibility of a serial killer in some of the cases.",draw,CT
"But, Eichenbaum said: Sometimes an incident like this will do more to energize those who are pro-choice who otherwise might not consider that as an important an issue to go to the polls over.",energize,Uu
"But, he notes, ""If everything crumbles totally, that won't be such a problem.""",notes,CT
"But, he observes, while makers suffer losses when program trading drags the market down, they also make money when program trading pushes the prices higher.",observes,CT
"Butinstead of providing the votes to strike it down, they chose to uphold it on the flimsy ground that because the sex of the parent and not the child made the difference under the law, the plaintiff did not have standing to bring the case.",chose,CT
"Butinstead of providing the votes to strike it down, they chose to uphold it on the flimsy ground that because the sex of the parent and not the child made the difference under the law, the plaintiff did not have standing to bring the case.",strike,CT
"By a 6-3 vote, the court upheld a discriminatory immigration law that gives a child born overseas to an unmarried American woman a better chance at citizenship than a child born to an unmarried American man.",upheld,CT
"By acquiring the shares, Lawrence Group increased its stake in Lawrence Insurance to 93.2% from 91.2%.",increased,CT
"By comparison, for the first nine months, Xerox earned $492 million, or $4.55 a share, on revenue of $12.97 billion.",earned,CT
"By contrast, Electronic Data Systems Corp., GM's data processing subsidiary, boosted net 16%.",boosted,CT
"By mid afternoon, official Serb sources were saying the operation was over, but that has not yet been confirmed from Belgrade, the capital of Serbia, which is where the whole attack is thought to have been planned.",confirmed,CT
"By mid afternoon, official Serb sources were saying the operation was over, but that has not yet been confirmed from Belgrade, the capital of Serbia, which is where the whole attack is thought to have been planned.",saying,CT
"By mid afternoon, official Serb sources were saying the operation was over, but that has not yet been confirmed from Belgrade, the capital of Serbia, which is where the whole attack is thought to have been planned.",planned,PR
"CAMBREX Corp., Bayonne, N.J., declared its initial quarterly of five cents a share, payable Dec. 1 to stock of record Nov. 10.",declared,CT
CBS News first reported last night that the tomb may contain the remains of Air Force pilot Michael Blassie.,contain,PS
CBS News first reported last night that the tomb may contain the remains of Air Force pilot Michael Blassie.,reported,CT
"CMS ENERGY Corp. said management would recommend to its board today that its common stock dividend be reinstated at a ""modest level"" later this year.",said,CT
CNW Corp. said the final step in the acquisition of the company has been completed with the merger of CNW with a subsidiary of Chicago amp North Western Holdings Corp.,completed,CT
Cabinet minister Michael Eitan said Sunday that Netanyahu's remarks marked a substantive change in Israel's position.,marked,CT
"Calling for an amended constitution with a new preamble, to be written by Australian poets, republican Janet Holmes a Court said, We need the smell of eucalyptus in this, and the feel of red dust.''",said,CT
"Canada's largest department store operator said the rights offering will entitle holders of its ordinary shares, except residents in the U.S. and Britain, to subscribe for two additional shares for every five shares held at a price of C$31.25 a share.",said,CT
"Canadian Imperial Bank of Commerce (Canada) -- 10 billion yen of 5.7% bonds due Nov. 17, 1992, priced at 101 1/4 to yield 5.75% less full fees, via LTCB International Ltd.",priced,CT
"Capital expenditure in 1990 will rise slightly, Mr. Marous said, from an estimated $470 million this year.",said,CT
"Carnival, which has three ships on order from Waertsilae Marine, presented claims for $1.5 billion damages in the bankruptcy court this week.",presented,CT
Castro has said officially that it's okay to be enthusiastic.,said,CT
"Catastrophe losses reduced Aetna's net income by $50 million, including $36 million from Hugo.",reduced,CT
Certainly Saddam Hussein continues to implore his country to fight on.,continues,CT
"Chairman Theodore Cooper called the program part of the company's two-year strategy to implement budget constraints and ""an effective headcount-control program.""",called,CT
"Chandler Insurance Co. said it expects to report third-quarter net income jumped 97% to $2.8 million, or 51 cents a share.",jumped,PR
"Chandler Insurance Co. said it expects to report third-quarter net income jumped 97% to $2.8 million, or 51 cents a share.",said,CT
"Chanting Helmut Kohl must go the unemployed took to the streets of the German capital, Berlin, mirroring protests around the country.",mirroring,CT
Chief Superintendent Al McHugh said the bomb discovered in the Irish Republic was destined for an unknown target in Northern Ireland and would have caused massive destruction.'',caused,CT
Chief Superintendent Al McHugh said the bomb discovered in the Irish Republic was destined for an unknown target in Northern Ireland and would have caused massive destruction.'',discovered,CT
Cie. de Navigation Mixte Chairman Marc Fournier said his board unanimously rejected as too low the $1.77 billion bid by Cie. Financiere de Paribas to bring its stake in Navigation Mixte to 66.7%.,said,CT
"Cilcorp Inc., Peoria, Ill., said it agreed to acquire the environmental consulting and analytical service businesses of Hunter Environmental Services Inc. of Southport, Conn.",said,CT
Cilcorp said the businesses to be acquired had revenue of $76 million for the year ended March 31.,said,CT
Cilcorp will also assume $22 million of Hunter's existing debt.,assume,CT
"Cineplex Odeon Corp. directors said the company's chairman and chief executive, Garth Drabinsky, is considering bidding 780.6 million Canadian dollars (US$666 million) to acquire the company.",said,CT
Cineplex shareholders responded coolly to yesterday's announcement.,responded,CT
"Citing an example, Sgt. Derek Glenn, a spokesman for the Newark Police Department, said that of nine women who had been killed last year, suspects had been arrested in only four cases.",Citing,CT
Clark said it was easier to seek extradition of an indicted suspect from another state or a foreign country than of someone wanted as a material witness.,seek,Uu
Clark said other evidence that prosecutors might present includes a strand of human hair found at the wooded firing site that has a high likelihood'' of matching Kopp's hair and testimony from a jogger who spotted Kopp's car near Slepian's house at 6 a.m. ten days before the shooting.,matching,PR
Clark said there was no question'' that the finding of the rifle was important in his decision to seek an indictment.,seek,CT
"Clark, the Erie district attorney, said afterwards that investigators think the doctor's killer buried the rifle in the days before the shooting, unearthed the weapon to fire the fatal shots, then hurriedly reburied it and fled.",fire,PR
"Coast Savings Financial Inc. reported a third-quarter loss, citing a previously announced capital restructuring program.",reported,CT
"Coast earned $10.2 million, or 67 cents a share, in the year-ago quarter.",earned,CT
"Coda Energy Inc. said it arranged a $50 million credit facility with NCNB Texas National Bank, a unit of NCNB Corp., of Charlotte, N.C.",said,CT
"Coleco Industries Inc., a once high-flying toy maker whose stock peaked at $65 a share in the early 1980s, filed a Chapter 11 reorganization plan that provides just 1.125 cents a share for common stockholders.",peaked,CT
"Columbia Savings amp Loan Association, reeling from thrift-accounting changes mandated by Congress and the recent collapse of the junk-bond market, announced a loss for the third quarter of $226.3 million, or $11.57 a share.",mandated,CT
"Columbia also added $227.3 million to reserves for losses on the portfolio, increasing general reserves to $300 million, or about 6.7% of the total portfolio, as of Sept. 30.",added,CT
Columbia also has unrealized gains in its public equity securities portfolio of more than $70 million.,has,CT
Columbia announced the results after the close of the stock market.,announced,CT
"Columbia officials also said the thrift shouldn't face problems meeting regulatory capital requirements, despite the large reserves and write-downs and stiffer regulatory requirements that should be in place by year's end.",face,PR
"Columbia officials also said the thrift shouldn't face problems meeting regulatory capital requirements, despite the large reserves and write-downs and stiffer regulatory requirements that should be in place by year's end.",said,CT
"Columbia officials said they don't know how quickly they will dispose of the thrift's junk bonds, because federal regulations, such as those that would allow thrifts to continue holding the bonds in separately capitalized subsidiaries, haven't yet been completed.",said,CT
"Columbia officials said they don't know how quickly they will dispose of the thrift's junk bonds, because federal regulations, such as those that would allow thrifts to continue holding the bonds in separately capitalized subsidiaries, haven't yet been completed.",know,CT
"Columbia owes its spectacular growth in recent years to its junk-bond portfolio, the largest of any U.S. thrift.",owes,CT
Company officials also said that any gain from the sale of Westinghouse's 55% stake in its transmission and distribution venture with the Swiss firm of Asea Brown Boveri will be offset by a restructuring charge in the fourth quarter.,said,CT
"Compaq Computer Corp. said that its net income rose 51% in the third quarter, bolstered by unusual gains from its investment in a disk-drive maker and reflecting continued growth in its European operations.",said,CT
"Compaq Computer nose-dived $8.625 a share, to $100, and pulled other technology issues lower after reporting lower-than-expected earnings after the stock market closed Wednesday.",nose,CT
"Compaq, which said it discovered the bugs, still plans to announce new 486 products on Nov. 6.",plans,CT
"Computer experts familiar with the flaws, found in Intel's 80486 chip, say the defects don't affect the average user and are likely to be cleared up before most computers using the chip as their ""brains"" appear on the market sometime next year.",affect,CT
"Computer experts familiar with the flaws, found in Intel's 80486 chip, say the defects don't affect the average user and are likely to be cleared up before most computers using the chip as their ""brains"" appear on the market sometime next year.",say,CT
"Computer experts familiar with the flaws, found in Intel's 80486 chip, say the defects don't affect the average user and are likely to be cleared up before most computers using the chip as their ""brains"" appear on the market sometime next year.",cleared,PR
"Concern about declines in other markets, especially New York, caused selling pressure.",caused,CT
"Confrontations among Catholic protesters, Protestant marchers and the police have provoked widespread violence in Northern Ireland for the past three summers.",provoked,CT
"Conseco Inc. said it is calling for the redemption on Dec. 7 of all the 800,000 remaining shares outstanding of its $1.875 Series A convertible preferred stock at $26.805 a share.",said,CT
"Consolidated Freightways Inc. reported a 77% drop in third-quarter net income, citing expected losses in its Emery Worldwide shipping business.",reported,CT
Construction is set to begin in early 1991.,set,CT
Construction is set to begin in early 1991.,begin,PR
"Control Data Corp., which just months ago was hemorrhaging financially , thinks it will be healthy enough soon to consider repurchasing public debt.",repurchasing,PS
"Control Data Corp., which just months ago was hemorrhaging financially , thinks it will be healthy enough soon to consider repurchasing public debt.",hemorrhaging,CT
"Control Data Corp., which just months ago was hemorrhaging financially , thinks it will be healthy enough soon to consider repurchasing public debt.",consider,PR
Control Data recently announced an agreement with MIPS Computer Systems Inc. to jointly develop machines with simplified operating software.,develop,CT
"Control Data's semiconductor business, VTC Inc., continues to lose money, the executives acknowledged, but they said they consider some of the technology vital to national defense and so are reluctant to dispose of it.",continues,CT
Courtaulds Chairman and Chief Executive Sir Christopher Hogg will remain in both posts at the surviving chemical company after the spinoff.,remain,CT
Courtaulds PLC announced plans to spin off its textiles operations to existing shareholders in a restructuring to boost shareholder value.,announced,CT
Courtaulds has been under pressure to enhance shareholder value since takeover speculators -- including Australian financier Kerry Packer -- surfaced holding small stakes last year.,surfaced,CT
"Courtaulds' restructuring is among the largest thus far in Britain, though it is dwarfed by B.A.T Industries PLC's plans to spin roughly off #4 billion in assets to help fend off a takeover bid from Anglo-French financier Sir James Goldsmith.",fend,Uu
"Courtaulds' shares rose 15 pence to 362 pence, valuing the entire company at about #1.44 billion.",rose,CT
"Crane Co. said it holds an 8.9% stake in Milton Roy Corp., an analytical-instruments maker, and may seek control of the company.",seek,PS
"Crane Co. said it holds an 8.9% stake in Milton Roy Corp., an analytical-instruments maker, and may seek control of the company.",said,CT
"Crane holds 504,200 Milton Roy shares, including 254,200 bought from Sept. 14 to Thursday for $15.50 to $16.75 each.",bought,CT
Crane officials didn't return phone calls seeking comment.,seeking,CT
Crane officials didn't return phone calls seeking comment.,return,CT
"Crane, a maker of engineered products for aerospace, construction, defense and other uses, made the disclosure in a Securities and Exchange Commission filing.",made,CT
Crossland Savings Bank's stock plummeted after management recommended a suspension of dividend payments on both its common and preferred stock because Crossland may not meet the new government capital criteria effective Dec. 7.,recommended,CT
Crossland Savings Bank's stock plummeted after management recommended a suspension of dividend payments on both its common and preferred stock because Crossland may not meet the new government capital criteria effective Dec. 7.,meet,PS
Crossland recorded an additional $20 million in loan loss reserves in the third quarter.,recorded,CT
Crossland said it retained three investment bankers to assist it in developing and implementing a financial restructuring plan.,retained,CT
"Crown Prince Hassan, King Hussein's brother and political adviser, was asked today about the message the king was said to be carrying.",said,CT
"Currently, Avon, based in Santa Monica, Calif., has 3.3 million common shares outstanding.",has,CT
"Customers holding contracts for Waertsilae Marine's undelivered ships are expected to subscribe most of the remaining 170 million markkaa in share capital, government officials said.",subscribe,PR
"Customers holding contracts for Waertsilae Marine's undelivered ships are expected to subscribe most of the remaining 170 million markkaa in share capital, government officials said.",expected,CT
Czech Foreign Minister Jan Kavan said he was in nearby Kansas City working with the anti-Soviet undergound in 1968 when Russian troops swept through Praque in the occupation of Czechoslovakia.,working,CT
"DD Acquisition Corp., a partnership of Unicorp Canada Corp.'s Kingsbridge Capital Group and Cara Operations Ltd., extended to Nov. 20 its $45-a-share offer for all Dunkin' Donuts Inc. shares outstanding.",extended,CT
DD Acquisition said the extension is to allow this process to be completed.,allow,CT
DIG is the vehicle being used to pursue to acquisition.,used,CT
"DPC Acquisition added that it has not begun discussions with financing sources, and said it expected to repay the amounts borrowed through proceeds of the liquidation.",expected,CT
"DPC Acquisition added that it has not begun discussions with financing sources, and said it expected to repay the amounts borrowed through proceeds of the liquidation.",begun,CT
"DPC Acquisition added that it has not begun discussions with financing sources, and said it expected to repay the amounts borrowed through proceeds of the liquidation.",repay,PR
DPC Acquisition said it had received the reasonable assurance of Chase Manhattan Bank N.A. that the financing can be obtained.,received,CT
DPC Acquisition said it had received the reasonable assurance of Chase Manhattan Bank N.A. that the financing can be obtained.,obtained,PR
"DPC last week launched a new, $10-a-share offer for the Woodland Hills, Calif.-based computer printer maker.",launched,CT
DPC said it couldn't comment on the suit.,said,CT
DPC said it couldn't comment on the suit.,comment,CT
"DPC, an investor group led by New York-based Crescott Investment Associates, had itself filed a suit in state court in Los Angeles seeking to nullify the agreement.",led,CT
"D'Amato's aides would not comment about the political ramifications of the slaying, and Schumer's aides would not talk about whether they planned to refer to it in any advertisements, or whether the candidate planned to use it on the campaign trail.",use,Uu
"Dataproducts Inc. said it filed a lawsuit in Delaware Chancery Court to block a tender offer by DPC Acquisition Partners, alleging that the hostile offer violates a standstill agreement between the two concerns.",violates,CT
"Dataproducts has since started a restructuring, and has said it is not for sale.",started,CT
"Dataproducts officials declined to comment, and said they had not yet seen a suit filed in federal court by DPC Acquisition that seeks to nullify a standstill agreement between DPC Acquisition and Dataproducts.",filed,CT
"Dataproducts officials declined to comment, and said they had not yet seen a suit filed in federal court by DPC Acquisition that seeks to nullify a standstill agreement between DPC Acquisition and Dataproducts.",seeks,CT
David B. Hilder in New York contributed to this article.,contributed,CT
"David L. Koffman, president and chief executive officer of Jayark, holds about 40% of Kofcoh, Jayark said.",holds,CT
Dealers placed heavy buy orders in the morning to start the first trading day for November transactions.,placed,CT
Dealers said the multinational oil company was pressured by recent brokerage recommendations urging investors to switch into Shell Trading amp Transport.,urging,CT
"Dealers said the turnover, largely confined to the 100-share index stocks, partly reflected the flurry of activity typical at the close of a two-week trading account and the start of a new account.",reflected,CT
"Debt has risen to around $4 billion, or about 50% of total capitalization.",risen,CT
"Declining issues on the Big Board outstripped gainers 1,141 to 406.",outstripped,CT
"Defense Minister Yitzhak Mordechai was the first senior Israeli official to refer to U.N. resolution 425 in a speech six weeks ago, saying at the time he was willing to withdraw troops in exchange for guarantees that Israel would not be attacked.",willing,CT
"Delta Air Lines earnings soared 33% to a record in the fiscal first quarter, bucking the industry trend toward declining profits.",soared,CT
"Delta has benefited more than other carriers from the weakness of Eastern Airlines, which shares the Atlanta hub.",benefited,CT
"Depending upon how many warrants and options are exercised prior to completion of the transaction, Heritage would issue between 1.8 million and 2.35 million preferred shares, a Heritage spokesman estimated.",issue,PR
"Depending upon how many warrants and options are exercised prior to completion of the transaction, Heritage would issue between 1.8 million and 2.35 million preferred shares, a Heritage spokesman estimated.",estimated,CT
"Deseret, with about $100 million in assets, is the parent of the Deseret Bank, which has six offices and headquarters at Pleasant Grove, Utah.",has,CT
"Despite continuing problems in its newsprint business, Kimberly-Clark Corp. posted a 20% gain in third-quarter net income.",posted,CT
"Despite the early indications of success, the allied forces could still suffer greater casualties and become bogged down militarily , especially when they encounter the tough Republican Guard, which is entrenched along the Iraq-Kuwait border.",become,PS
"Despite the early indications of success, the allied forces could still suffer greater casualties and become bogged down militarily , especially when they encounter the tough Republican Guard, which is entrenched along the Iraq-Kuwait border.",entrenched,CT
"Despite the lack of any obvious successors, the Iraqi leader's internal power base appeared to be narrowing even before the war began.",appeared,CT
"Despite the lack of any obvious successors, the Iraqi leader's internal power base appeared to be narrowing even before the war began.",narrowing,PR
"Despite the recent possibility of military conflict with Iraq, oil prices have been falling, that's because of a worldwide glut of oil.",falling,CT
"Despite these early successes, the mere fact that a ground campaign has begun almost guarantees that the Bush administration will face fresh problems growing out of the military situation.",face,PR
"Despite these early successes, the mere fact that a ground campaign has begun almost guarantees that the Bush administration will face fresh problems growing out of the military situation.",begun,CT
"Details of the restructuring won't be made final until regulators approve the regulations mandated by the new federal act, the company said.",said,CT
"Details of the restructuring won't be made final until regulators approve the regulations mandated by the new federal act, the company said.",made,CT
"Di Giorgio Corp. said it's continuing talks with potential buyers of certain units, but has reached no agreement on any deals.",reached,CT
"Di Giorgio Corp. said it's continuing talks with potential buyers of certain units, but has reached no agreement on any deals.",said,CT
"Di Giorgio, a food wholesaler and building products maker, is seeking alternatives to an unsolicited $32-a-share tender offer of DIG Acquisition Corp., a unit of Rose Partners Limited Partnership.",seeking,CT
"Dime Savings Bank of New York was cleared by the Federal Deposit Insurance Corp. to acquire Starpointe Savings Bank of Somerset, N.J., the banks said.",said,CT
Diplomacy appears to be making headway in resolving the united nation's standoff with Iraq.,making,PR
Diplomacy appears to be making headway in resolving the united nation's standoff with Iraq.,appears,CT
"Diversified Investment Group Inc. said it agreed to be acquired by Star States Corp. for stock valued at $13.75 a share, or about $24.4 million.",valued,CT
"Diversified, the holding company for Fidelity Federal Savings amp Loan Association, said the agreement also gives Star States the option to acquire 588,300 of Diversified's 1,774,326 shares outstanding ""under certain circumstances.""",gives,CT
"Doctor James Burdick, the Professor of Transplant Surgery at Johns Hopkins University Hospital in Baltimore, Maryland, and former President of UNOS, said the current system has evolved over several years and it works well.",works,CT
Dominion Textile Inc. holders adopted a shareholder-rights plan at the annual meeting.,adopted,CT
"Donald M. Roberts, 54, treasurer, and Frederick S. Wonham, 58, who takes responsibility for the funds-service group, were named vice chairmen and will serve in the office of the chairman.",serve,CT
"Dow Jones amp Co. extended its tender offer of $18 a share, or about $576 million, for the 33% of Telerate Inc. that it doesn't already own until 5 p.m. EST, Nov. 6.",extended,CT
"Dow Jones amp Co. extended its tender offer of $18 a share, or about $576 million, for the 33% of Telerate Inc. that it doesn't already own until 5 p.m. EST, Nov. 6.",own,CT
Dow Jones amp Co. said it extended its $18-a-share offer for Telerate Inc. common stock until 5 p.m. EST Nov. 9.,said,CT
Dow Jones has said it believes the $18-a-share price is fair to Telerate's minority shareholders.,believes,CT
Dow Jones said it extended the offer to allow shareholders time to review a supplement to the Dow Jones tender offer circular that it mailed last Friday.,mailed,CT
Dow Jones shares also fell 50 cents to close at $36.125 in Big Board composite trading.,fell,CT
"Dow Jones, which owns about 64 million of Telerate's 95 million common shares outstanding, said that about 24,000 shares have been tendered under its offer.",tendered,CT
Dresdner Bank said it will also buy all shares tendered by shareholders on the Paris Stock Exchange at the same price from today through Nov. 17.,buy,CT
"Du Pont Co. reported that third-quarter profit grew a robust 19% from a year ago on the strength of the company's operations in various chemicals and fibers, and in petroleum.",grew,CT
"Du Pont also announced plans for a 3-for-1 stock split, although the initial higher dividend will be paid on pre-split shares.",announced,CT
"Du Pont also raised its quarterly dividend to $1.20 a share from $1.05, a change that will increase the annualized payout to shareholders by some $140 million.",raised,CT
"Du Pont, unlike companies hurt badly by sharp price declines for basic chemicals and plastics, is benefiting from its broad range of businesses.",benefiting,CT
Du Pont's stock rose $2.50 a share to close at $117.375 in New York Stock Exchange composite trading yesterday.,rose,CT
Dunkin' has set Nov. 10 as the deadline for the receipt of any competing bids.,set,CT
"During that time, Control Data had losses of more than $1 billion.",had,CT
"During the quarter, Delta issued 2.5 million shares of common stock to Swissair, and repurchased 1.1 million shares for use in a company employee stock ownership plan.",issued,CT
"During the third quarter, Compaq purchased a former Wang Laboratories manufacturing facility in Stirling, Scotland, which will be used for international service and repair operations.",used,CT
"During the third quarter, the company charged about $46 million against earnings in reducing goodwill, added $20 million to its general loan loss reserves and established a $30 million reserve for its high-yield bond portfolio.",established,CT
"Each note is being offered at $308.32 per $1,000 principal amount at maturity, representing an 8% yield to maturity.",offered,CT
Each of the Class C warrants will enable the holders to purchase one share of common stock at $5.50.,enable,CT
Each right entitles the shareholder to buy $100 face amount of 13.5% bonds due 1993 and warrants to buy 23.5 common shares at 30 cents a share.,warrants,CT
Earlier AT and T also announced an eighteen percent drop in profits for the fourth quarter.,announced,CT
"Earlier Sunday, police and militant Protestants clashed in a religiously polarized part of north Belfast.",clashed,CT
"Earlier staff-reduction moves have trimmed about 300 jobs, the spokesman said.",said,CT
"Earlier that day, the Slepian family sent a fax to local police explaining that abortion providers were warned that one of them might be targeted for assassination.",explaining,CT
"Earlier this month, Milton Roy signed a letter of intent to acquire Automated Custom Systems Inc., Orange, Calif., and its sister operation, Environmental Testing Co., in Aurora, Colo.",signed,CT
"Earlier this month, Security Pacific, which is among the 10 largest bank holding companies in the U.S., completed the acquisition of San Diego-based Southwest Bancorp.",completed,CT
"Earlier this month, a group led by three of the company's directors, Burt Sugarman, James M. Trotter III and Willam E. Trotter II, indicated it had a 45.2% stake in the Louisville, Ky., fast-food company and that it planned to seek a majority of seats on Rally's nine-member board.",had,CT
"Earlier this month, a group led by three of the company's directors, Burt Sugarman, James M. Trotter III and Willam E. Trotter II, indicated it had a 45.2% stake in the Louisville, Ky., fast-food company and that it planned to seek a majority of seats on Rally's nine-member board.",seek,PR
"Earlier this month, the company said it expected to break even for the quarter on sales of $530 million.",expected,CT
"Earlier this month, the company said it expected to break even for the quarter on sales of $530 million.",break,PR
"Earlier this year, DPC Acquisition made a $15-a-share offer for Dataproducts, which the Dataproducts board said it rejected because the $283.7 million offer was not fully financed.",rejected,CT
"Earlier this year, DPC Acquisition made a $15-a-share offer for Dataproducts, which the Dataproducts board said it rejected because the $283.7 million offer was not fully financed.",financed,CT
"Earlier this year, Dataproducts had rejected a $15 a share offer from DPC, saying it wasn't adequately financed.",financed,CT
"Earlier this year, Dataproducts had rejected a $15 a share offer from DPC, saying it wasn't adequately financed.",rejected,CT
"Earlier yesterday, the Societe de Bourses Francaises was told that a unit of Framatome S.A. also bought Navigation Mixte shares, this purchase covering more than 160,000 shares.",bought,CT
"Earlier, Mesa had rejected a general proposal from StatesWest to combine the two carriers in some way.",rejected,CT
"Earnings at Xerox's financial-services operations actually rose slightly, but that was largely because capital gains at Crum amp Forster offset Hurricane Hugo payments and the reserves set up to cover future payments.",offset,CT
"Earnings for GM common stock, reflecting the performance of GM's core automotive operations, will be disclosed this morning.",disclosed,CT
"Earnings were hurt by disposal of operations in its restructuring, Reed said.",restructuring,CT
Edward L. Kane succeeded Mr. Taylor as chairman.,succeeded,CT
"Egypt, Syria, Morocco and Bangladesh also committed ground troops, to a much lesser degree.",committed,CT
Egyptian and Moroccan troops are already there.,there,CT
"Eight of the 14 killings since 1993 were already under investigation by the Newark Police Department, Glenn said.",investigation,CT
"Eight trading days after Oct. 12, the day before the stock market plunge, for instance, the Nasdaq Composite had fallen 4.3%, compared with 3.3% for the SampP 500, 3.5% for the New York Stock Exchange Composite Index and 3.6% for the industrial average.",fallen,CT
"Elco Industries Inc. said it expects net income in the year ending June 30, 1990, to fall below a recent analyst's estimate of $1.65 a share.",fall,PR
"Elco Industries Inc. said it expects net income in the year ending June 30, 1990, to fall below a recent analyst's estimate of $1.65 a share.",ending,CT
"Elsewhere, share prices closed lower in Paris, Zurich, Amsterdam, Brussels and Stockholm, and were mixed in Milan.",closed,CT
"Erbamont will then be liquidated, with any remaining Erbamont holders receiving a distribution of $37 a share.",liquidated,CT
Esselte AB sold the minority stake five years ago in a $40 million international share offering.,sold,CT
"Esselte AB, the Stockholm office supplies company, as expected, proposed to acquire the 22% it doesn't own of its U.S. unit, Esselte Business Systems Inc.",expected,CT
"Esselte AB, the Stockholm office supplies company, as expected, proposed to acquire the 22% it doesn't own of its U.S. unit, Esselte Business Systems Inc.",own,CT
"Even as Saddam Hussein was searching for a ploy to ease his isolation, though, the international pressure against him clicked up another notch.",searching,CT
"Even before the killing, Schumer was tyring to draw more attention to the anti-abortion record of his opponent, Senator Alfonse D'Amato, a Republican who is also running on the Right to Life Party line.",draw,Uu
"Even excluding the charge, however , net fell 5%.",fell,CT
"Even if the gross national product is either flat or in the growth range of 2% to 2.5%, ""we can handle that,"" Mr. Marous said.",said,CT
"Even in his own Cabinet, Howard is becoming increasingly isolated with his monarchist stance.",isolated,CT
"Even though this city is in Afghanistan, most people here speak a dialect of the Persian language, and have long standing cultural ties with neighboring Iran.",speak,CT
"Even without a specific takeover threat, Courtaulds is giving shareholders ""choice and value,"" said Julia Blake, an analyst at London stockbrokers Barclays de Zoete Wedd.",giving,CT
Everyone appears to believe that somehow Cuba is going to change.,appears,CT
Everyone appears to believe that somehow Cuba is going to change.,believe,PR
"""Everything will be taken over by the new company,"" said Christian Andersson, executive vice president of Oy Waertsilae, former parent of Waertsilae Marine.",said,CT
Experts say the ground is so saturated it cannot absorb any more water.,absorb,CT
Experts say the ground is so saturated it cannot absorb any more water.,say,CT
Extremists have bombed two predominantly pro-British Protestant towns and fired mortar shells at a police station since Sinn Fein was expelled from peace talks on Feb. 20 in punishment for two killings blamed on the Irish Republican Army.,expelled,CT
"Factory owners are buying new machinery at a healthy rate this fall, machine-tool makers say.",buying,CT
"Farkas expressed the hope he one day follow in the footsteps of fellow astronaut John Glenn, who at 77 is about to go into space again.",go,CT
Farkas will move to the company's U.S. headquarters.,move,CT
"Farkas, an air force captain, was sent into space on board the Soyuz 36 on May 26, 1980.",sent,CT
Fidel Castro invited John Paul to come for a reason.,invited,CT
"Fidelity's junk fund has fallen 2.08% this year through Oct. 19, Lipper says;",says,CT
"Finally today, we learned that the space agency has finally taken a giant leap forward.",learned,CT
"Finally, when Iraq failed to respond to the U.S. ultimatum, Mr. Bush let the ground offensive begin as previously planned Saturday night.",begin,CT
"Finally, when Iraq failed to respond to the U.S. ultimatum, Mr. Bush let the ground offensive begin as previously planned Saturday night.",respond,CT
First Security Corp. said it tentatively agreed to acquire Deseret Bancorp. for stock valued at about $18 million.,valued,CT
First Security Corp. said it tentatively agreed to acquire Deseret Bancorp. for stock valued at about $18 million.,acquire,PR
First of America Bank Corp. said it completed its acquisition of Midwest Financial Group Inc. for about $250 million.,completed,CT
First of America said some of the managers will take other jobs with First of America.,said,CT
"First of America, which now has 45 banks and $12.5 billion in assets, announced an agreement to acquire the Peoria, Ill., bank holding company in January.",announced,CT
"First-section volume was estimated at 1.3 billion shares, up from 886 million shares Thursday.",estimated,CT
Five major political parties in the country issued statements supporting the country's NATO membership.,supporting,CT
"Five other U.N. inspection teams visited a total of nine other sites, the agency reported.",visited,CT
"Fluor Daniel already has reassigned most of its work crew, the sources said.",said,CT
"Following are statements made Friday and Thursday by Lawrence Wechsler, a lawyer for the White House secretary, Betty Currie;",made,CT
Foodstuffs are among the goods being blocked from entry;,blocked,CT
"For 1988, BellSouth earned $1.7 billion, or $3.51 a share, on revenue of $13.6 billion.",earned,CT
